SeriesName_1: GDP: Gross domestic product (line 1) [Millions],Series Code_2: A191RC-Q,SeriesName_2: Employment: Total nonfarm  [Thousands],SeriesCode_2: CES0000000001
Date_1,GDP: Gross domestic product (line 1) [Millions],Date_2,Employment: Total nonfarm  [Thousands]
01-1947,243164.0,01-1939,29923.0
04-1947,245968.0,02-1939,30100.0
07-1947,249585.0,03-1939,30280.0
10-1947,259745.0,04-1939,30094.0
01-1948,265742.0,05-1939,30299.0
04-1948,272567.0,06-1939,30502.0
07-1948,279196.0,07-1939,30419.0
10-1948,280366.0,08-1939,30663.0
01-1949,275034.0,09-1939,31031.0
04-1949,271351.0,10-1939,31411.0
07-1949,272889.0,11-1939,31470.0
10-1949,270627.0,12-1939,31542.0
01-1950,280828.0,01-1940,31603.0
04-1950,290383.0,02-1940,31715.0
07-1950,308153.0,03-1940,31825.0
10-1950,319945.0,04-1940,31701.0
01-1951,336000.0,05-1940,31879.0
04-1951,344090.0,06-1940,31977.0
07-1951,351385.0,07-1940,31942.0
10-1951,356178.0,08-1940,32352.0
01-1952,359820.0,09-1940,32810.0
04-1952,361030.0,10-1940,33267.0
07-1952,367701.0,11-1940,33669.0
10-1952,380812.0,12-1940,34174.0
01-1953,387980.0,01-1941,34481.0
04-1953,391749.0,02-1941,34843.0
07-1953,391171.0,03-1941,35092.0
10-1953,385970.0,04-1941,35468.0
01-1954,385345.0,05-1941,36182.0
04-1954,386121.0,06-1941,36650.0
07-1954,390996.0,07-1941,37137.0
10-1954,399734.0,08-1941,37544.0
01-1955,413073.0,09-1941,37835.0
04-1955,421532.0,10-1941,37949.0
07-1955,430221.0,11-1941,38024.0
10-1955,437092.0,12-1941,38104.0
01-1956,439746.0,01-1942,38347.0
04-1956,446010.0,02-1942,38512.0
07-1956,451191.0,03-1942,38935.0
10-1956,460463.0,04-1942,39352.0
01-1957,469779.0,05-1942,39771.0
04-1957,472025.0,06-1942,40029.0
07-1957,479490.0,07-1942,40472.0
10-1957,474864.0,08-1942,40988.0
01-1958,467540.0,09-1942,41259.0
04-1958,471978.0,10-1942,41515.0
07-1958,485841.0,11-1942,41674.0
10-1958,499555.0,12-1942,41915.0
01-1959,510330.0,01-1943,42172.0
04-1959,522653.0,02-1943,42393.0
07-1959,525034.0,03-1943,42552.0
10-1959,528600.0,04-1943,42647.0
01-1960,542648.0,05-1943,42596.0
04-1960,541080.0,06-1943,42781.0
07-1960,545604.0,07-1943,42700.0
10-1960,540197.0,08-1943,42546.0
01-1961,545018.0,09-1943,42492.0
04-1961,555545.0,10-1943,42675.0
07-1961,567664.0,11-1943,42821.0
10-1961,580612.0,12-1943,42746.0
01-1962,594013.0,01-1944,42654.0
04-1962,600366.0,02-1944,42538.0
07-1962,609027.0,03-1944,42294.0
10-1962,612280.0,04-1944,42063.0
01-1963,621672.0,05-1944,41985.0
04-1963,629752.0,06-1944,41947.0
07-1963,644444.0,07-1944,41904.0
10-1963,653938.0,08-1944,41850.0
01-1964,669822.0,09-1944,41679.0
04-1964,678674.0,10-1944,41708.0
07-1964,692031.0,11-1944,41711.0
10-1964,697319.0,12-1944,41860.0
01-1965,717790.0,01-1945,41895.0
04-1965,730191.0,02-1945,41897.0
07-1965,749323.0,03-1945,41798.0
10-1965,771857.0,04-1945,41446.0
01-1966,795734.0,05-1945,41304.0
04-1966,804981.0,06-1945,41149.0
07-1966,819638.0,07-1945,40874.0
10-1966,833302.0,08-1945,40466.0
01-1967,844170.0,09-1945,38507.0
04-1967,848983.0,10-1945,38600.0
07-1967,865233.0,11-1945,38996.0
10-1967,881439.0,12-1945,39110.0
01-1968,909387.0,01-1946,39829.0
04-1968,934344.0,02-1946,39244.0
07-1968,950825.0,03-1946,40195.0
10-1968,968030.0,04-1946,40913.0
01-1969,993337.0,05-1946,41349.0
04-1969,1009020.0,06-1946,41735.0
07-1969,1029956.0,07-1946,42153.0
10-1969,1038147.0,08-1946,42642.0
01-1970,1051200.0,09-1946,42915.0
04-1970,1067375.0,10-1946,43093.0
07-1970,1086059.0,11-1946,43395.0
10-1970,1088608.0,12-1946,43379.0
01-1971,1135156.0,01-1947,43535.0
04-1971,1156271.0,02-1947,43557.0
07-1971,1177675.0,03-1947,43607.0
10-1971,1190297.0,04-1947,43499.0
01-1972,1230609.0,05-1947,43638.0
04-1972,1266369.0,06-1947,43810.0
07-1972,1290566.0,07-1947,43743.0
10-1972,1328904.0,08-1947,43960.0
01-1973,1377490.0,09-1947,44203.0
04-1973,1413887.0,10-1947,44411.0
07-1973,1433838.0,11-1947,44484.0
10-1973,1476289.0,12-1947,44581.0
01-1974,1491209.0,01-1948,44679.0
04-1974,1530056.0,02-1948,44533.0
07-1974,1560026.0,03-1948,44683.0
10-1974,1599679.0,04-1948,44379.0
01-1975,1616116.0,05-1948,44796.0
04-1975,1651853.0,06-1948,45034.0
07-1975,1709820.0,07-1948,45160.0
10-1975,1761831.0,08-1948,45178.0
01-1976,1820487.0,09-1948,45294.0
04-1976,1852332.0,10-1948,45245.0
07-1976,1886558.0,11-1948,45192.0
10-1976,1934273.0,12-1948,45032.0
01-1977,1988648.0,01-1949,44668.0
04-1977,2055909.0,02-1949,44497.0
07-1977,2118473.0,03-1949,44240.0
10-1977,2164270.0,04-1949,44236.0
01-1978,2202760.0,05-1949,43984.0
04-1978,2331633.0,06-1949,43739.0
07-1978,2395053.0,07-1949,43531.0
10-1978,2476949.0,08-1949,43624.0
01-1979,2526610.0,09-1949,43780.0
04-1979,2591247.0,10-1949,42942.0
07-1979,2667565.0,11-1949,43242.0
10-1979,2723883.0,12-1949,43522.0
01-1980,2789842.0,01-1950,43526.0
04-1980,2797352.0,02-1950,43297.0
07-1980,2856483.0,03-1950,43954.0
10-1980,2985557.0,04-1950,44382.0
01-1981,3124206.0,05-1950,44718.0
04-1981,3162532.0,06-1950,45083.0
07-1981,3260609.0,07-1950,45454.0
10-1981,3280818.0,08-1950,46192.0
01-1982,3274302.0,09-1950,46438.0
04-1982,3331972.0,10-1950,46706.0
07-1982,3366322.0,11-1950,46776.0
10-1982,3402561.0,12-1950,46861.0
01-1983,3473413.0,01-1951,47288.0
04-1983,3578848.0,02-1951,47577.0
07-1983,3689179.0,03-1951,47873.0
10-1983,3794706.0,04-1951,47861.0
01-1984,3908054.0,05-1951,47952.0
04-1984,4009601.0,06-1951,48064.0
07-1984,4084250.0,07-1951,48061.0
10-1984,4148551.0,08-1951,48012.0
01-1985,4230168.0,09-1951,47954.0
04-1985,4294887.0,10-1951,48006.0
07-1985,4386773.0,11-1951,48147.0
10-1985,4444094.0,12-1951,48314.0
01-1986,4507894.0,01-1952,48296.0
04-1986,4545340.0,02-1952,48522.0
07-1986,4607669.0,03-1952,48504.0
10-1986,4657627.0,04-1952,48620.0
01-1987,4722156.0,05-1952,48642.0
04-1987,4806160.0,06-1952,48282.0
07-1987,4884555.0,07-1952,48143.0
10-1987,5007994.0,08-1952,48924.0
01-1988,5073372.0,09-1952,49320.0
04-1988,5190036.0,10-1952,49597.0
07-1988,5282835.0,11-1952,49816.0
10-1988,5399509.0,12-1952,50166.0
01-1989,5511253.0,01-1953,50144.0
04-1989,5612463.0,02-1953,50339.0
07-1989,5695365.0,03-1953,50473.0
10-1989,5747237.0,04-1953,50435.0
01-1990,5872701.0,05-1953,50490.0
04-1990,5960028.0,06-1953,50519.0
07-1990,6015116.0,07-1953,50536.0
10-1990,6004733.0,08-1953,50489.0
01-1991,6035178.0,09-1953,50368.0
04-1991,6126862.0,10-1953,50240.0
07-1991,6205937.0,11-1953,49908.0
10-1991,6264540.0,12-1953,49703.0
01-1992,6363102.0,01-1954,49469.0
04-1992,6470763.0,02-1954,49382.0
07-1992,6566641.0,03-1954,49157.0
10-1992,6680803.0,04-1954,49179.0
01-1993,6729459.0,05-1954,48965.0
04-1993,6808939.0,06-1954,48895.0
07-1993,6882098.0,07-1954,48835.0
10-1993,7013738.0,08-1954,48826.0
01-1994,7115652.0,09-1954,48886.0
04-1994,7246931.0,10-1954,48942.0
07-1994,7331075.0,11-1954,49180.0
10-1994,7455288.0,12-1954,49331.0
01-1995,7522289.0,01-1955,49496.0
04-1995,7580997.0,02-1955,49644.0
07-1995,7683125.0,03-1955,49962.0
10-1995,7772586.0,04-1955,50248.0
01-1996,7868468.0,05-1955,50512.0
04-1996,8032840.0,06-1955,50790.0
07-1996,8131408.0,07-1955,50987.0
10-1996,8259771.0,08-1955,51111.0
01-1997,8362655.0,09-1955,51266.0
04-1997,8518825.0,10-1955,51429.0
07-1997,8662823.0,11-1955,51592.0
10-1997,8765907.0,12-1955,51805.0
01-1998,8866480.0,01-1956,51975.0
04-1998,8969699.0,02-1956,52167.0
07-1998,9121097.0,03-1956,52294.0
